lead_id,custom_field_1057048,status
9708768,Google,PóS - SimulAÇÃO
9718870,Google,Possui Limite
9725106,Google,LINK CADASTRO
9731386,Google,Simulação
9755768,Google,Possui Limite
9765690,Google,Venda perdida
9855534,Google,Venda perdida
9859106,Google,Venda perdida
9863998,Google,Possui Limite
9864508,Google,Possui Limite
9876696,Google,Possui Limite
9886336,Google,Venda perdida
9888864,Google,Venda perdida
9889918,Google,Venda perdida
9901576,Google,Possui Limite
9904984,Google,Possui Limite
9906498,Google,Venda perdida
9910864,Google,Venda perdida
9913462,Google,Possui Limite
9913994,Google,Possui Limite
9935866,Google,Possui Limite
9953408,Google,Possui Limite
9967938,Google,Possui Limite
9983542,Google,Possui Limite
9992526,Google,Venda perdida
10042766,Google,Venda perdida
10051258,Google,PóS - SimulAÇÃO
10110608,Google,Possui Limite
10131850,Google,Simulação
10196292,Google,Venda perdida
10222754,Google,Possui Limite
10223566,Google,Venda perdida
10233134,Google,Venda perdida
10234550,Google,Possui Limite
10235370,Google,Venda perdida
10245360,Google,Possui Limite
10211818,Google,Venda perdida
10279314,Google,PóS - SimulAÇÃO
10281984,Google,Possui Limite
10286372,Google,Venda perdida
10296100,Google,LINK CADASTRO
10300506,Google,Venda perdida
10303568,Google,Possui Limite
10321056,Google,PóS - SimulAÇÃO
10321306,Google,PóS - SimulAÇÃO
10326848,Google,Venda perdida
10336450,Google,Possui Limite
10357884,Google,Venda perdida
10405628,Google,PóS - SimulAÇÃO
10406012,Google,Possui Limite
10407580,Google,PóS - SimulAÇÃO
10417644,Google,Possui Limite
10422136,Google,PóS - SimulAÇÃO
10437978,Google,Possui Limite
10439436,Google,PóS - SimulAÇÃO
10452696,Google,Possui Limite
10454900,Google,Venda perdida
10475114,Google,Possui Limite
10481388,Google,Simulação
10481556,Google,PóS - SimulAÇÃO
10488706,Google,PóS - SimulAÇÃO
10492358,Google,Possui Limite
10495466,Google,Possui Limite
10503518,Google,PóS - SimulAÇÃO
10503758,Google,PóS - SimulAÇÃO
10503894,Google,Venda perdida
10433376,Google,Possui Limite
8541904,,Venda perdida
8548300,,Venda perdida
8549088,,Venda perdida
10513738,,Venda perdida
8559964,,Venda perdida
8561930,,Venda perdida
8588480,,Venda perdida
8369296,Meta,Venda perdida
8369712,Meta,Venda perdida
8369890,Meta,Venda perdida
8370146,Meta,Venda perdida
8370812,Meta,Venda perdida
8374286,Meta,Venda perdida
8377838,Meta,Venda perdida
8377980,Meta,Venda perdida
8383370,Meta,Venda perdida
8384268,Meta,Venda perdida
8384386,Meta,Venda perdida
8386954,Meta,Venda perdida
8387532,Meta,Venda perdida
8390998,Meta,Venda perdida
8393608,Meta,Venda perdida
8396834,Meta,Venda perdida
8402534,Meta,Venda perdida
8402558,Meta,Venda perdida
8403820,Meta,Venda perdida
8406458,Meta,Venda perdida
8409720,Meta,Venda perdida
8410528,Meta,Venda perdida
8410978,Meta,Venda perdida
8425870,Meta,Venda perdida
8429076,Meta,Venda perdida
8430084,Meta,Venda perdida
8430764,Meta,Venda perdida
8431128,Meta,Venda perdida
8433092,Meta,Venda perdida
8434866,Meta,Venda perdida
8437864,Meta,Venda perdida
8438818,Meta,Venda perdida
8439078,Meta,Venda perdida
8439808,Meta,Venda perdida
8440390,Meta,Venda perdida
8444112,Meta,Venda perdida
8444120,Meta,Venda perdida
8446986,Meta,Venda perdida
8447452,Meta,Venda perdida
8449010,Meta,Venda perdida
8450446,Meta,Venda perdida
8452642,Meta,Venda perdida
8453290,Meta,Venda perdida
8589128,,Venda perdida
